day,average,coverage,unit,parameter
2024-01-01,39.3,100.0,µg/m³,pm25
2024-01-02,10.3,73.0,µg/m³,pm25
2024-01-03,4.42,69.0,µg/m³,pm25
2024-01-04,1.755,83.0,µg/m³,pm25
2024-01-05,16.15,100.0,µg/m³,pm25
2024-01-06,21.15,100.0,µg/m³,pm25
2024-01-07,10.9,100.0,µg/m³,pm25
2024-01-08,6.855,98.0,µg/m³,pm25
2024-01-09,4.869999999999999,100.0,µg/m³,pm25
2024-01-10,11.285,100.0,µg/m³,pm25
2024-01-11,19.1,100.0,µg/m³,pm25
2024-01-12,17.85,100.0,µg/m³,pm25
2024-01-13,13.95,96.0,µg/m³,pm25
2024-01-14,4.955,100.0,µg/m³,pm25
2024-01-15,4.19,100.0,µg/m³,pm25
2024-01-16,4.73,100.0,µg/m³,pm25
2024-01-17,12.649999999999999,100.0,µg/m³,pm25
2024-01-18,17.85,100.0,µg/m³,pm25
2024-01-19,19.1,100.0,µg/m³,pm25
2024-01-20,9.64,100.0,µg/m³,pm25
2024-01-21,12.14,73.0,µg/m³,pm25
2024-01-22,33.45,75.0,µg/m³,pm25
2024-01-23,23.5,75.0,µg/m³,pm25
2024-01-24,19.3,81.5,µg/m³,pm25
2024-01-25,26.3,92.0,µg/m³,pm25
2024-01-26,24.6,90.0,µg/m³,pm25
2024-01-27,12.7,96.0,µg/m³,pm25
2024-01-28,9.5,96.0,µg/m³,pm25
2024-01-29,2.31,96.0,µg/m³,pm25
2024-01-30,7.695,96.0,µg/m³,pm25
2024-01-31,12.65,56.5,µg/m³,pm25
2024-02-01,21.1,56.0,µg/m³,pm25
2024-02-02,22.700000000000003,87.5,µg/m³,pm25
2024-02-03,28.2,96.0,µg/m³,pm25
2024-02-04,21.65,100.0,µg/m³,pm25
2024-02-05,24.15,96.0,µg/m³,pm25
2024-02-06,18.35,96.0,µg/m³,pm25
2024-02-07,22.45,89.5,µg/m³,pm25
2024-02-08,25.9,96.0,µg/m³,pm25
2024-02-09,14.5,96.0,µg/m³,pm25
2024-02-10,17.4,100.0,µg/m³,pm25
2024-02-11,12.2,96.0,µg/m³,pm25
2024-02-12,18.4,96.0,µg/m³,pm25
2024-02-13,1.6005,96.0,µg/m³,pm25
2024-02-14,8.81,96.0,µg/m³,pm25
2024-02-15,14.7,96.0,µg/m³,pm25
2024-02-16,15.0,96.0,µg/m³,pm25
2024-02-17,18.8,96.0,µg/m³,pm25
2024-02-18,17.25,96.0,µg/m³,pm25
2024-02-19,13.05,96.0,µg/m³,pm25
2024-02-20,5.775,96.0,µg/m³,pm25
2024-02-21,4.49,100.0,µg/m³,pm25
2024-02-22,2.5,96.0,µg/m³,pm25
2024-02-23,6.51,96.0,µg/m³,pm25
2024-02-24,7.875,96.0,µg/m³,pm25
2024-02-25,4.71,64.5,µg/m³,pm25
2024-02-26,5.01,94.0,µg/m³,pm25
2024-02-27,6.154999999999999,96.0,µg/m³,pm25
2024-02-28,12.15,100.0,µg/m³,pm25
2024-02-29,14.8,96.0,µg/m³,pm25
2024-03-01,16.7,100.0,µg/m³,pm25
2024-03-02,16.15,100.0,µg/m³,pm25
2024-03-03,9.205,79.0,µg/m³,pm25
2024-03-04,9.68,96.0,µg/m³,pm25
2024-03-05,8.135,96.0,µg/m³,pm25
2024-03-06,6.57,96.0,µg/m³,pm25
2024-03-07,3.575,96.0,µg/m³,pm25
2024-03-08,5.67,94.0,µg/m³,pm25
2024-03-09,2.7,51.0,µg/m³,pm25
2024-03-10,2.47,96.0,µg/m³,pm25
2024-03-11,3.79,96.0,µg/m³,pm25
2024-03-12,5.705,100.0,µg/m³,pm25
2024-03-13,6.65,96.0,µg/m³,pm25
2024-03-14,3.9000000000000004,94.0,µg/m³,pm25
2024-03-15,6.555,96.0,µg/m³,pm25
2024-03-16,4.82,100.0,µg/m³,pm25
2024-03-17,2.045,96.0,µg/m³,pm25
2024-03-18,5.3149999999999995,94.0,µg/m³,pm25
2024-03-19,10.65,71.0,µg/m³,pm25
2024-03-20,7.869999999999999,27.0,µg/m³,pm25
2024-03-21,9.665,100.0,µg/m³,pm25
2024-03-22,7.494999999999999,100.0,µg/m³,pm25
2024-03-23,6.725,100.0,µg/m³,pm25
2024-03-24,7.755,100.0,µg/m³,pm25
2024-03-25,8.17,100.0,µg/m³,pm25
2024-03-26,7.640000000000001,100.0,µg/m³,pm25
2024-03-27,4.13,100.0,µg/m³,pm25
2024-03-28,3.285,100.0,µg/m³,pm25
2024-03-29,6.199999999999999,100.0,µg/m³,pm25
2024-03-30,3.3,100.0,µg/m³,pm25
2024-03-31,1.3715,98.0,µg/m³,pm25
2024-04-01,1.56,100.0,µg/m³,pm25
2024-04-02,5.29,100.0,µg/m³,pm25
2024-04-03,6.095000000000001,100.0,µg/m³,pm25
2024-04-04,2.25,100.0,µg/m³,pm25
2024-04-05,2.42,98.0,µg/m³,pm25
2024-04-06,4.335,100.0,µg/m³,pm25
2024-04-07,3.76,100.0,µg/m³,pm25
2024-04-08,2.1,100.0,µg/m³,pm25
2024-04-09,2.105,100.0,µg/m³,pm25
2024-04-10,4.555,100.0,µg/m³,pm25
2024-04-11,5.12,94.0,µg/m³,pm25
2024-04-12,1.56,100.0,µg/m³,pm25
2024-04-13,1.014,100.0,µg/m³,pm25
2024-04-14,2.3049999999999997,100.0,µg/m³,pm25
2024-04-15,2.545,100.0,µg/m³,pm25
2024-04-16,3.36,100.0,µg/m³,pm25
2024-04-17,6.029999999999999,100.0,µg/m³,pm25
2024-04-18,7.05,100.0,µg/m³,pm25
2024-04-19,5.15,100.0,µg/m³,pm25
2024-04-20,4.265,100.0,µg/m³,pm25
2024-04-21,4.9350000000000005,100.0,µg/m³,pm25
2024-04-22,4.22,100.0,µg/m³,pm25
2024-04-23,3.765,100.0,µg/m³,pm25
2024-04-24,3.41,100.0,µg/m³,pm25
2024-04-25,2.5549999999999997,52.0,µg/m³,pm25
2024-04-26,5.2,8.0,µg/m³,pm25
2024-04-28,3.675,8.0,µg/m³,pm25
2024-04-29,3.6399999999999997,31.0,µg/m³,pm25
2024-04-30,3.015,71.0,µg/m³,pm25
2024-05-01,2.08,100.0,µg/m³,pm25
2024-05-02,1.6774999999999998,100.0,µg/m³,pm25
2024-05-03,4.0,100.0,µg/m³,pm25
2024-05-04,2.59,100.0,µg/m³,pm25
2024-05-05,1.83,100.0,µg/m³,pm25
2024-05-06,2.3,100.0,µg/m³,pm25
2024-05-07,2.8200000000000003,100.0,µg/m³,pm25
2024-05-08,1.6349999999999998,100.0,µg/m³,pm25
2024-05-09,2.3499999999999996,100.0,µg/m³,pm25
2024-05-10,2.06,63.0,µg/m³,pm25
2024-05-11,1.6615,96.0,µg/m³,pm25
2024-05-12,2.675,100.0,µg/m³,pm25
2024-05-13,2.24,100.0,µg/m³,pm25
2024-05-14,1.8,100.0,µg/m³,pm25
2024-05-15,1.695,100.0,µg/m³,pm25
2024-05-16,6.215,98.0,µg/m³,pm25
2024-05-17,6.755,100.0,µg/m³,pm25
2024-05-18,4.85,100.0,µg/m³,pm25
2024-05-19,3.585,100.0,µg/m³,pm25
2024-05-20,3.7199999999999998,100.0,µg/m³,pm25
2024-05-21,3.095,98.0,µg/m³,pm25
2024-05-22,3.33,98.0,µg/m³,pm25
2024-05-23,3.03,100.0,µg/m³,pm25
2024-05-24,3.2199999999999998,100.0,µg/m³,pm25
2024-05-25,1.705,100.0,µg/m³,pm25
2024-05-26,1.804,100.0,µg/m³,pm25
2024-05-27,3.5949999999999998,100.0,µg/m³,pm25
2024-05-28,3.035,100.0,µg/m³,pm25
2024-05-29,3.9299999999999997,100.0,µg/m³,pm25
2024-05-30,2.95,100.0,µg/m³,pm25
2024-05-31,1.63,94.0,µg/m³,pm25
2024-06-01,2.169,100.0,µg/m³,pm25
2024-06-02,1.935,100.0,µg/m³,pm25
2024-06-03,1.85,100.0,µg/m³,pm25
2024-06-04,3.975,100.0,µg/m³,pm25
2024-06-05,5.79,100.0,µg/m³,pm25
2024-06-06,3.4450000000000003,67.0,µg/m³,pm25
2024-06-07,1.0935000000000001,96.0,µg/m³,pm25
2024-06-08,1.551,100.0,µg/m³,pm25
2024-06-09,7.99,100.0,µg/m³,pm25
2024-06-10,10.4,100.0,µg/m³,pm25
2024-06-11,9.4,100.0,µg/m³,pm25
2024-06-12,22.450000000000003,83.5,µg/m³,pm25
2024-06-13,4.17,75.5,µg/m³,pm25
2024-06-14,4.65,100.0,µg/m³,pm25
2024-06-15,5.65,100.0,µg/m³,pm25
2024-06-16,5.675000000000001,98.0,µg/m³,pm25
2024-06-17,4.515000000000001,100.0,µg/m³,pm25
2024-06-18,4.62,100.0,µg/m³,pm25
2024-06-19,4.7,100.0,µg/m³,pm25
2024-06-20,16.05,91.5,µg/m³,pm25
2024-06-21,11.45,100.0,µg/m³,pm25
2024-06-22,5.3,100.0,µg/m³,pm25
2024-06-23,9.254999999999999,100.0,µg/m³,pm25
2024-06-24,50.85,96.0,µg/m³,pm25
2024-06-25,66.6,100.0,µg/m³,pm25
2024-06-26,43.150000000000006,100.0,µg/m³,pm25
2024-06-27,30.85,100.0,µg/m³,pm25
2024-06-28,77.3,100.0,µg/m³,pm25
2024-06-29,100.05,100.0,µg/m³,pm25
2024-06-30,196.5,96.0,µg/m³,pm25
2024-07-01,91.85,71.0,µg/m³,pm25
2024-07-02,20.6,100.0,µg/m³,pm25
2024-07-03,20.55,75.0,µg/m³,pm25
2024-07-04,7.17,100.0,µg/m³,pm25
2024-07-05,4.1,100.0,µg/m³,pm25
2024-07-06,5.25,100.0,µg/m³,pm25
2024-07-07,2.904,100.0,µg/m³,pm25
2024-07-08,4.215,100.0,µg/m³,pm25
2024-07-09,4.24,100.0,µg/m³,pm25
2024-07-10,3.415,100.0,µg/m³,pm25
2024-07-11,4.98,96.0,µg/m³,pm25
2024-07-12,3.92,100.0,µg/m³,pm25
