day,average,coverage,unit,parameter
2024-01-01,21.5,98.0,µg/m³,pm25
2024-01-02,15.600000000000001,98.0,µg/m³,pm25
2024-01-03,7.625,98.0,µg/m³,pm25
2024-01-04,12.05,96.0,µg/m³,pm25
2024-01-05,15.75,98.0,µg/m³,pm25
2024-01-06,20.0,96.0,µg/m³,pm25
2024-01-07,8.57,98.0,µg/m³,pm25
2024-01-08,11.7,98.0,µg/m³,pm25
2024-01-09,15.8,94.0,µg/m³,pm25
2024-01-10,11.95,94.0,µg/m³,pm25
2024-01-11,6.345000000000001,98.0,µg/m³,pm25
2024-01-12,13.25,98.0,µg/m³,pm25
2024-01-13,21.3,96.0,µg/m³,pm25
2024-01-14,20.75,98.0,µg/m³,pm25
2024-01-15,12.3,96.0,µg/m³,pm25
2024-01-16,11.32,79.0,µg/m³,pm25
2024-01-17,18.2,98.0,µg/m³,pm25
2024-01-18,15.3,91.5,µg/m³,pm25
2024-01-19,22.8,94.0,µg/m³,pm25
2024-01-20,10.375,98.0,µg/m³,pm25
2024-01-21,3.005,98.0,µg/m³,pm25
2024-01-22,3.45,98.0,µg/m³,pm25
2024-01-23,6.1,94.0,µg/m³,pm25
2024-01-24,8.73,98.0,µg/m³,pm25
2024-01-25,6.41,96.0,µg/m³,pm25
2024-01-26,9.725,98.0,µg/m³,pm25
2024-01-27,17.950000000000003,96.0,µg/m³,pm25
2024-01-28,25.200000000000003,98.0,µg/m³,pm25
2024-01-29,24.35,94.0,µg/m³,pm25
2024-01-30,19.2,98.0,µg/m³,pm25
2024-01-31,10.45,65.0,µg/m³,pm25
2024-02-01,1.805,54.0,µg/m³,pm25
2024-02-02,4.890000000000001,98.0,µg/m³,pm25
2024-02-03,6.11,96.0,µg/m³,pm25
2024-02-04,2.43,89.5,µg/m³,pm25
2024-02-05,1.2065000000000001,94.0,µg/m³,pm25
2024-02-06,1.795,91.5,µg/m³,pm25
2024-02-07,2.365,77.0,µg/m³,pm25
2024-02-08,5.9,98.0,µg/m³,pm25
2024-02-09,9.815000000000001,96.0,µg/m³,pm25
2024-02-10,10.45,96.0,µg/m³,pm25
2024-02-11,12.235,96.0,µg/m³,pm25
2024-02-12,12.8,96.0,µg/m³,pm25
2024-02-13,16.7,98.0,µg/m³,pm25
2024-02-14,15.2,94.0,µg/m³,pm25
2024-02-15,4.8,96.0,µg/m³,pm25
2024-02-16,14.0,96.0,µg/m³,pm25
2024-02-17,10.065,98.0,µg/m³,pm25
2024-02-18,3.4699999999999998,98.0,µg/m³,pm25
2024-02-19,2.435,96.0,µg/m³,pm25
2024-02-20,2.875,98.0,µg/m³,pm25
2024-02-21,2.78,96.0,µg/m³,pm25
2024-02-22,7.715,96.0,µg/m³,pm25
2024-02-23,13.05,98.0,µg/m³,pm25
2024-02-24,19.5,96.0,µg/m³,pm25
2024-02-25,17.5,98.0,µg/m³,pm25
2024-02-26,12.780000000000001,98.0,µg/m³,pm25
2024-02-27,6.105,96.0,µg/m³,pm25
2024-02-28,11.0,96.0,µg/m³,pm25
