day,average,coverage,unit,parameter
2024-03-06,2.54,67.0,µg/m³,pm10
2024-03-07,5.01,52.5,µg/m³,pm10
2024-03-08,7.93,100.0,µg/m³,pm10
2024-03-09,5.58,39.0,µg/m³,pm10
2024-03-10,2.75,87.0,µg/m³,pm10
2024-03-11,3.0,38.0,µg/m³,pm10
2024-03-13,1.08,13.0,µg/m³,pm10
2024-03-14,0.47,50.0,µg/m³,pm10
2024-03-15,0.891,96.0,µg/m³,pm10
2024-03-16,2.36,71.0,µg/m³,pm10
2024-03-17,7.15,88.0,µg/m³,pm10
2024-03-18,9.73,92.0,µg/m³,pm10
2024-03-19,21.0,88.0,µg/m³,pm10
2024-03-20,13.6,67.0,µg/m³,pm10
2024-03-21,4.92,83.0,µg/m³,pm10
2024-03-22,4.17,79.0,µg/m³,pm10
2024-03-23,2.1,79.0,µg/m³,pm10
2024-03-24,2.1,92.0,µg/m³,pm10
2024-03-25,3.05,46.0,µg/m³,pm10
2024-03-26,2.01,88.0,µg/m³,pm10
2024-03-27,6.21,58.0,µg/m³,pm10
2024-03-28,3.21,79.0,µg/m³,pm10
2024-03-29,4.3,67.0,µg/m³,pm10
2024-03-30,1.97,96.0,µg/m³,pm10
2024-03-31,9.79,96.0,µg/m³,pm10
2024-04-01,8.59,100.0,µg/m³,pm10
2024-04-02,7.8,71.0,µg/m³,pm10
2024-04-03,10.8,75.0,µg/m³,pm10
2024-04-04,1.5,96.0,µg/m³,pm10
2024-04-05,3.44,88.0,µg/m³,pm10
2024-04-06,2.19,79.0,µg/m³,pm10
2024-04-07,7.73,79.0,µg/m³,pm10
2024-04-08,7.71,92.0,µg/m³,pm10
2024-04-09,6.58,79.0,µg/m³,pm10
2024-04-10,9.23,63.0,µg/m³,pm10
2024-04-11,8.37,100.0,µg/m³,pm10
2024-04-12,7.71,54.0,µg/m³,pm10
2024-04-13,0.804,79.0,µg/m³,pm10
2024-04-14,0.733,67.0,µg/m³,pm10
2024-04-15,4.95,63.0,µg/m³,pm10
2024-04-16,7.6,83.0,µg/m³,pm10
2024-04-17,10.8,67.0,µg/m³,pm10
2024-04-18,13.5,75.0,µg/m³,pm10
