day,average,coverage,unit,parameter
2024-03-25,3.72,21.0,µg/m³,pm25
2024-03-26,4.6,100.0,µg/m³,pm25
2024-03-27,4.35,100.0,µg/m³,pm25
2024-03-28,0.861,96.0,µg/m³,pm25
2024-03-29,1.6,100.0,µg/m³,pm25
2024-03-30,-0.62,83.0,µg/m³,pm25
2024-03-31,0.411,75.0,µg/m³,pm25
2024-04-01,1.74,88.0,µg/m³,pm25
2024-04-02,5.25,100.0,µg/m³,pm25
2024-04-03,5.85,96.0,µg/m³,pm25
2024-04-04,1.67,96.0,µg/m³,pm25
2024-04-05,1.72,96.0,µg/m³,pm25
2024-04-06,4.58,100.0,µg/m³,pm25
2024-04-07,5.56,100.0,µg/m³,pm25
2024-04-08,6.77,100.0,µg/m³,pm25
2024-04-09,5.77,100.0,µg/m³,pm25
2024-04-10,11.5,100.0,µg/m³,pm25
2024-04-11,15.9,100.0,µg/m³,pm25
2024-04-12,12.5,100.0,µg/m³,pm25
2024-04-13,5.38,100.0,µg/m³,pm25
2024-04-14,1.49,100.0,µg/m³,pm25
2024-04-15,5.63,100.0,µg/m³,pm25
2024-04-16,9.21,100.0,µg/m³,pm25
2024-04-17,15.8,100.0,µg/m³,pm25
