STATION,DATE,NAME,TEMP,DEWP,STP,VISIB,WDSP,MXSPD,MAX,MIN,PRCP,MONTH
72389093193,2024-01-01,"FRESNO YOSEMITE INTERNATIONAL, CA US",49.4,46.0,8.3,4.9,3.0,6.0,57.9,45.0,0.0,1
72389093193,2024-01-02,"FRESNO YOSEMITE INTERNATIONAL, CA US",47.8,44.9,11.9,3.6,3.3,8.0,55.0,45.0,0.0,1
72389093193,2024-01-03,"FRESNO YOSEMITE INTERNATIONAL, CA US",49.9,44.9,8.2,7.0,4.8,14.0,55.9,44.1,0.35,1
72389093193,2024-01-04,"FRESNO YOSEMITE INTERNATIONAL, CA US",45.2,41.5,11.6,7.1,3.5,11.1,55.9,41.0,0.18,1
72389093193,2024-01-05,"FRESNO YOSEMITE INTERNATIONAL, CA US",46.4,40.0,13.7,8.5,1.4,8.0,55.0,41.0,0.0,1
72389093193,2024-01-06,"FRESNO YOSEMITE INTERNATIONAL, CA US",44.6,39.5,11.6,7.5,2.5,9.9,55.0,37.0,0.0,1
72389093193,2024-01-07,"FRESNO YOSEMITE INTERNATIONAL, CA US",43.4,38.1,5.1,9.4,6.5,13.0,51.1,37.0,0.18,1
72389093193,2024-01-08,"FRESNO YOSEMITE INTERNATIONAL, CA US",40.9,33.1,11.6,9.6,2.7,9.9,53.1,33.1,0.0,1
72389093193,2024-01-09,"FRESNO YOSEMITE INTERNATIONAL, CA US",43.3,33.5,15.9,10.0,1.4,5.1,55.0,33.1,0.0,1
72389093193,2024-01-10,"FRESNO YOSEMITE INTERNATIONAL, CA US",48.5,39.0,8.9,8.7,3.6,8.9,55.0,34.0,0.0,1
72389093193,2024-01-11,"FRESNO YOSEMITE INTERNATIONAL, CA US",46.7,37.8,5.1,9.3,6.8,28.0,55.0,37.9,0.21,1
72389093193,2024-01-12,"FRESNO YOSEMITE INTERNATIONAL, CA US",42.1,34.0,12.6,10.0,1.9,6.0,51.1,34.0,0.01,1
72389093193,2024-01-13,"FRESNO YOSEMITE INTERNATIONAL, CA US",43.7,37.2,11.2,7.4,3.0,8.0,50.0,34.0,0.0,1
72389093193,2024-01-14,"FRESNO YOSEMITE INTERNATIONAL, CA US",47.9,42.0,7.8,6.6,1.9,7.0,61.0,37.0,0.05,1
